id,submission_time,vote_number,question_id,message,image
0,1493398154,39,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
642f15bc-329f-471b-9209-dc6396dd6830,1542795825,0,0,my answer,
a7f9235b-dd41-41ac-91f0-dab1f2f81b2c,1542888624,0,0,,
d5809727-d0b6-4d21-ab9b-47e4955612e7,1542888627,0,0,,
f220b4f2-50df-431f-8d50-27611b8a9da5,1542888628,0,0,,
86873bd0-fa87-4fb2-8fe7-ae872f3a9697,1542888637,0,0,,
5f828ca2-34c4-4fd7-90eb-077fbc5f9133,1542888638,0,0,,
e55b19b2-ec7c-4083-b5ed-bf83d6b6ee5f,1542888639,0,0,,
f6c9101c-1868-42c1-a8d0-8b7f7ba92750,1542888640,0,0,,
ac071c28-5f44-4e45-b59d-2db73941db85,1542888641,0,0,,
dc5a9f0e-ccfc-4ef7-a2f4-60046bedb61e,1542888676,0,0,,
c2669732-39c0-4325-b100-3cf5ed48bf58,1542888700,0,0,,
88c6a1b2-5e63-4496-b834-5595448a094e,1542888701,0,0,,
b7fd2ecf-9a61-4f54-b4e8-8640880b77b5,1542888702,0,0,,
863dafd2-b33d-448f-aa8e-f4c7180645f8,1542888703,0,0,,
